Type, Node,Node Interface,Leaf IP Address,Peer Type,Peer Node,Peer Interface,Peer IP Address
l3leaf,leaf1,Ethernet49/1,172.31.255.1/31,spine,spine1,Ethernet1/1,172.31.255.0/31
l3leaf,leaf1,Ethernet50/1,172.31.255.3/31,spine,spine2,Ethernet1/1,172.31.255.2/31
l3leaf,leaf2,Ethernet49/1,172.31.255.65/31,spine,spine1,Ethernet2/1,172.31.255.64/31
l3leaf,leaf2,Ethernet50/1,172.31.255.67/31,spine,spine2,Ethernet2/1,172.31.255.66/31
l3leaf,leaf3,Ethernet49/1,172.31.255.129/31,spine,spine1,Ethernet3/1,172.31.255.128/31
l3leaf,leaf3,Ethernet50/1,172.31.255.131/31,spine,spine2,Ethernet3/1,172.31.255.130/31
l3leaf,leaf4,Ethernet49/1,172.31.255.193/31,spine,spine1,Ethernet4/1,172.31.255.192/31
l3leaf,leaf4,Ethernet50/1,172.31.255.195/31,spine,spine2,Ethernet4/1,172.31.255.194/31
